id,name,description,price,Qty,image
169,Himalaya Protein Extra Nourishment Hair Cream,Himalaya Protein Extra Nourishment Hair Cream,80,1,Himalaya_Protein_Extra_Nourishment_Hair_Cream.png
170,Himalaya Refresging Cleansing Milk,Himalaya Refresging Cleansing Milk,83,1,Himalaya_Refresging_Cleansing_Milk.png
171,Himalaya Refreshing & Clarifying Toner,Himalaya Refreshing & Clarifying Toner,83,1,Himalaya_Refreshing_Clarifying_Toner.png
172,Himalaya Soothing Body Lotion,Himalaya Soothing Body Lotion,75,1,Himalaya_Soothing_Body_Loation.png
173,Horlicks Bio Available Nutrients Classic Malt,Horlicks Bio Available Nutrients Classic Malt,215;396,1,Horlicks_Bio_Available_Nutrients_Classic_Malt_Nutrition_Powder.png
174,Horlicks Chocolate Delight Flavour,Horlicks Chocolate Delight Flavour,199;97,1,Horlicks_Chocolate_Delight_Flavour.png
175,Horlicks Growth For 3 9 Age. Vanilla Flavour,Horlicks Growth For 3 9 Age. Vanilla Flavour,275,1,Horlicks_Growth_For_3_9_Age_Vanilla_Flavour_Nutrition_Powder.png
176,Horlicks Junior Orginal Flavour,Horlicks Junior Orginal Flavour,270,1,Horlicks_Junior_Orginal_Flavour_Nutrition_Powder.png
177,Horlicks Mother Vanilla Flavour,Horlicks Mother Vanilla Flavour,220,1,Horlicks_Mother_Vanilla_Flavour_Nutrition_Powder.png
178,Horlicks Protein+Chocolate Flavour Nutrition Powder,Horlicks Protein+Chocolate Flavour Nutrition Powder,280,1,Horlicks_Protein_Chocolate_Flavour_Nutrition_Powder.png
179,Horlicks Women's,Horlicks Women's,270,1,Horlicks_Women_s_Nutrition_Powder.png
180,Lite Horlicks Badham Flavour,Lite Horlicks Badham Flavour,278,1,Lite_Horlicks_Badham_Flavour_Nutrition_Powder.png
181,Horlicks Mother Venilla Flavour,Horlicks Mother Venilla Flavour,499,1,Mother_Horlicks_Venilla_Flavour_Nutrition_Powder.png
182,India Gate Basmati Rice Classic,India Gate Basmati Rice Classic,216,1,India_Gate_Basmati_Rice_Classic.png
183,India Gate Basmati Rice Dubar,India Gate Basmati Rice Dubar,122,1,India_Gate_Basmati_Rice_Dubar.png
184,India Gate Basmati Rice Feast Rozzana,India Gate Basmati Rice Feast Rozzana,99,1,India_Gate_Basmati_Rice_Feast_Rozzana.png
185,India Gate Basmati Rice Super,India Gate Basmati Rice Super,165,1,India_Gate_Basmati_Rice_Super.png
186,India Gate Basmati Rice Tibar,India Gate Basmati Rice Tibar,129,1,India_Gate_Basmati_Rice_Tibar.png
187,Johnson's Active Kids Shiny Drops Shampoo,Johnson's Active Kids Shiny Drops Shampoo,165,1,Johnson_s_Active_Kids_Shiny_Drops_Shampoo.png
188,Johnson's Baby Shampoo,Johnson's Baby Shampoo,55,1,Johnson_s_Baby_Sampoo.png
189,Johnson's Baby Soap Blossoms,Johnson's Baby Soap Blossoms,47,1,Johnson_s_Baby_Soap_Blossoms.png
190,Johnson's Baby Top To Toe Bath Baby Bath Oil,Johnson's Baby Top To Toe Bath Baby Bath Oil,45,1,Johnson_s_Baby_Top_To_Toe_Bath_Baby_Bath_Oil.png
191,K.P. Namboodiri's Aloe Vera Herbal Toothpaste,K.P. Namboodiri's Aloe Vera Herbal Toothpaste,55,1,K_P_Namboodiri_s_Aloe_Vera_Herbal_Toothpaste.png
192,K.P. Namboodiri's Gel Stronger By Nature Toothpaste,K.P. Namboodiri's Gel Stronger By Nature Toothpaste,85;48,1,K_P_Namboodiri_s_Gel_Stronger_By_Nature_Toothpaste.png
193,K.P. Namboodiri's Herbal Toothpaste,K.P. Namboodiri's Herbal Toothpaste,22,1,K_P_Namboodiri_s_Herbal_Toothpaste.png
194,K.P. Namboodiri's Turmeric Fairness Cream,K.P. Namboodiri's Turmeric Fairness Cream,45,1,K_P_Namboodiri_s_Turmeric_Fairness_Cream.png
